Date and time [dd.MM.yyyy],Energy per inverter [kWh] | Symo 6.0-3-M (1),Energy per inverter per kWp [kWh/kWp] | Symo 6.0-3-M (1),Total system [kWh]
01.01.2025,17.37201,2.71226,17.37201
02.01.2025,5.03373,0.78591,5.03373
03.01.2025,0.71233,0.11121,0.71233
04.01.2025,5.63838,0.88031,5.63838
05.01.2025,2.06604,0.32257,2.06604
06.01.2025,9.52447,1.48704,9.52447
07.01.2025,12.28555,1.91812,12.28555
08.01.2025,2.49628,0.38974,2.49628
09.01.2025,9.08546,1.41849,9.08546
10.01.2025,3.98509,0.62218,3.98509
11.01.2025,19.08238,2.97929,19.08238
12.01.2025,20.10160,3.13842,20.10160
13.01.2025,22.98230,3.58818,22.98230
14.01.2025,20.67836,3.22847,20.67836
15.01.2025,11.81387,1.84448,11.81387
16.01.2025,21.52344,3.36041,21.52344
17.01.2025,18.59563,2.90330,18.59563
18.01.2025,17.97492,2.80639,17.97492
19.01.2025,9.52560,1.48721,9.52560
20.01.2025,2.18071,0.34047,2.18071
21.01.2025,5.40503,0.84388,5.40503
22.01.2025,4.13549,0.64567,4.13549
23.01.2025,3.17488,0.49569,3.17488
24.01.2025,16.22038,2.53246,16.22038
25.01.2025,18.40846,2.87408,18.40846
26.01.2025,21.96751,3.42974,21.96751
27.01.2025,9.36067,1.46146,9.36067
28.01.2025,3.40296,0.53130,3.40296
29.01.2025,15.55439,2.42848,15.55439
30.01.2025,14.26517,2.22719,14.26517
31.01.2025,3.42782,0.53518,3.42782
01.02.2025,1.83164,0.28597,1.83164
02.02.2025,3.20609,0.50056,3.20609
03.02.2025,21.36652,3.33591,21.36652
04.02.2025,26.67248,4.16432,26.67248
05.02.2025,4.74377,0.74064,4.74377
06.02.2025,2.93124,0.45765,2.93124
07.02.2025,20.90526,3.26390,20.90526
08.02.2025,12.75162,1.99089,12.75162
09.02.2025,8.83363,1.37918,8.83363
10.02.2025,14.93864,2.33234,14.93864
11.02.2025,6.68778,1.04415,6.68778
12.02.2025,10.98655,1.71531,10.98655
13.02.2025,1.56876,0.24493,1.56876
14.02.2025,0.00698,0.00109,0.00698
15.02.2025,15.46285,2.41418,15.46285
16.02.2025,12.06428,1.88357,12.06428
17.02.2025,7.25550,1.13279,7.25550
18.02.2025,21.64124,3.37880,21.64124
19.02.2025,20.85214,3.25560,20.85214
20.02.2025,8.95867,1.39870,8.95867
21.02.2025,28.36311,4.42828,28.36311
22.02.2025,16.95462,2.64709,16.95462
23.02.2025,5.68241,0.88718,5.68241
24.02.2025,11.77571,1.83852,11.77571
25.02.2025,6.35112,0.99159,6.35112
26.02.2025,2.99352,0.46737,2.99352
27.02.2025,4.06186,0.63417,4.06186
28.02.2025,17.60815,2.74913,17.60815
01.03.2025,14.05569,2.19449,14.05569
02.03.2025,32.29124,5.04157,32.29124
03.03.2025,33.66656,5.25629,33.66656
04.03.2025,33.54259,5.23694,33.54259
05.03.2025,33.14578,5.17499,33.14578
06.03.2025,32.19069,5.02587,32.19069
07.03.2025,33.24581,5.19060,33.24581
08.03.2025,33.28918,5.19737,33.28918
09.03.2025,31.24757,4.87862,31.24757
10.03.2025,9.86561,1.54030,9.86561
11.03.2025,25.95878,4.05289,25.95878
12.03.2025,6.94705,1.08463,6.94705
13.03.2025,5.58698,0.87228,5.58698
14.03.2025,7.46990,1.16626,7.46990
15.03.2025,4.93856,0.77105,4.93856
16.03.2025,6.49626,1.01425,6.49626
17.03.2025,21.60827,3.37366,21.60827
18.03.2025,36.35528,5.67608,36.35528
19.03.2025,36.86691,5.75596,36.86691
20.03.2025,33.45274,5.22291,33.45274
21.03.2025,18.53454,2.89376,18.53454
22.03.2025,31.26931,4.88202,31.26931
23.03.2025,22.36999,3.49258,22.36999
24.03.2025,19.20832,2.99896,19.20832
25.03.2025,14.01571,2.18825,14.01571
26.03.2025,4.40313,0.68745,4.40313
27.03.2025,31.47582,4.91426,31.47582
28.03.2025,10.41828,1.62659,10.41828
29.03.2025,4.37587,0.68320,4.37587
30.03.2025,29.00911,4.52914,29.00911
31.03.2025,9.52134,1.48655,9.52134
01.04.2025,31.14437,4.86251,31.14437
02.04.2025,36.35726,5.67639,36.35726
03.04.2025,37.02770,5.78106,37.02770
04.04.2025,37.13330,5.79755,37.13330
05.04.2025,37.19550,5.80726,37.19550
06.04.2025,38.39716,5.99487,38.39716
07.04.2025,39.12305,6.10820,39.12305
08.04.2025,38.30963,5.98121,38.30963
09.04.2025,36.62534,5.71824,36.62534
10.04.2025,38.06773,5.94344,38.06773
11.04.2025,38.06810,5.94350,38.06810
12.04.2025,30.61659,4.78011,30.61659
13.04.2025,19.47834,3.04112,19.47834
14.04.2025,28.98236,4.52496,28.98236
15.04.2025,25.36364,3.95998,25.36364
16.04.2025,19.07712,2.97847,19.07712
17.04.2025,8.21211,1.28214,8.21211
18.04.2025,14.90714,2.32742,14.90714
19.04.2025,37.85109,5.90962,37.85109
20.04.2025,16.36278,2.55469,16.36278
21.04.2025,28.92769,4.51642,28.92769
22.04.2025,29.00401,4.52834,29.00401
23.04.2025,33.28983,5.19747,33.28983
24.04.2025,14.49298,2.26276,14.49298
25.04.2025,16.84487,2.62996,16.84487
26.04.2025,39.07106,6.10009,39.07106
27.04.2025,28.32950,4.42303,28.32950
28.04.2025,34.77654,5.42959,34.77654
29.04.2025,37.17869,5.80464,37.17869
30.04.2025,38.83044,6.06252,38.83044
01.05.2025,38.29409,5.97878,38.29409
02.05.2025,37.89326,5.91620,37.89326
03.05.2025,11.71849,1.82958,11.71849
04.05.2025,15.24376,2.37998,15.24376
05.05.2025,7.35519,1.14835,7.35519
06.05.2025,10.19564,1.59182,10.19564
07.05.2025,10.53441,1.64472,10.53441
08.05.2025,15.47302,2.41577,15.47302
09.05.2025,14.55439,2.27235,14.55439
10.05.2025,40.09416,6.25982,40.09416
11.05.2025,36.49156,5.69736,36.49156
12.05.2025,27.18358,4.24412,27.18358
13.05.2025,26.33563,4.11173,26.33563
14.05.2025,39.87543,6.22567,39.87543
15.05.2025,23.31315,3.63984,23.31315
16.05.2025,34.19811,5.33928,34.19811
17.05.2025,28.81574,4.49894,28.81574
18.05.2025,39.87640,6.22582,39.87640
19.05.2025,34.84013,5.43952,34.84013
20.05.2025,20.84954,3.25520,20.84954
21.05.2025,15.09960,2.35747,15.09960
22.05.2025,6.78218,1.05889,6.78218
23.05.2025,18.76546,2.92981,18.76546
24.05.2025,37.22500,5.81187,37.22500
25.05.2025,13.09787,2.04495,13.09787
26.05.2025,9.18376,1.43384,9.18376
27.05.2025,23.46023,3.66280,23.46023
28.05.2025,8.40779,1.31269,8.40779
29.05.2025,30.23210,4.72008,30.23210
30.05.2025,39.29275,6.13470,39.29275
31.05.2025,37.83958,5.90782,37.83958
01.06.2025,33.50790,5.23152,33.50790
02.06.2025,13.88490,2.16782,13.88490
03.06.2025,29.00087,4.52785,29.00087
04.06.2025,23.10785,3.60778,23.10785
05.06.2025,11.37463,1.77590,11.37463
06.06.2025,28.68493,4.47852,28.68493
07.06.2025,15.92406,2.48619,15.92406
08.06.2025,13.35175,2.08458,13.35175
09.06.2025,38.44146,6.00179,38.44146
10.06.2025,34.62360,5.40571,34.62360
11.06.2025,37.22955,5.81258,37.22955
12.06.2025,37.73702,5.89181,37.73702
13.06.2025,36.59316,5.71322,36.59316
14.06.2025,32.50085,5.07429,32.50085
15.06.2025,26.94370,4.20667,26.94370
16.06.2025,36.23222,5.65686,36.23222
17.06.2025,37.39403,5.83826,37.39403
18.06.2025,37.14091,5.79874,37.14091
19.06.2025,37.13428,5.79770,37.13428
20.06.2025,37.13620,5.79800,37.13620
21.06.2025,36.88855,5.75934,36.88855
22.06.2025,37.37963,5.83601,37.37963
23.06.2025,22.9710,3.58642,22.9710
24.06.2025,37.78705,5.89962,37.78705
25.06.2025,36.52408,5.70243,36.52408
26.06.2025,13.15788,2.05431,13.15788
27.06.2025,30.98891,4.83824,30.98891
28.06.2025,37.26895,5.81873,37.26895
29.06.2025,36.86116,5.75506,36.86116
30.06.2025,28.18755,4.40087,28.18755
01.07.2025,33.59159,5.24459,33.59159
02.07.2025,34.74730,5.42503,34.74730
03.07.2025,28.40863,4.43538,28.40863
04.07.2025,24.83567,3.87754,24.83567
05.07.2025,34.74281,5.42433,34.74281
06.07.2025,15.85832,2.47593,15.85832
07.07.2025,10.37118,1.61923,10.37118
08.07.2025,16.41468,2.56279,16.41468
09.07.2025,33.70830,5.26281,33.70830
10.07.2025,35.36231,5.52105,35.36231
11.07.2025,32.64921,5.09746,32.64921
12.07.2025,36.00068,5.62072,36.00068
13.07.2025,31.83568,4.97044,31.83568
14.07.2025,21.27830,3.32214,21.27830
15.07.2025,16.39205,2.55926,16.39205
16.07.2025,14.09593,2.20077,14.09593
17.07.2025,31.13311,4.86075,31.13311
18.07.2025,36.10858,5.63756,36.10858
19.07.2025,22.50206,3.51320,22.50206
20.07.2025,28.32548,4.42240,28.32548
21.07.2025,22.64096,3.53489,22.64096
22.07.2025,23.42553,3.65738,23.42553
23.07.2025,19.68442,3.07329,19.68442
24.07.2025,17.70328,2.76398,17.70328
25.07.2025,24.79869,3.87177,24.79869
26.07.2025,8.21603,1.28275,8.21603
27.07.2025,18.62229,2.90746,18.62229
28.07.2025,6.46591,1.00951,6.46591
29.07.2025,23.46471,3.66350,23.46471
30.07.2025,23.10902,3.60797,23.10902
31.07.2025,22.99053,3.58947,22.99053
01.08.2025,23.37864,3.65006,23.37864
02.08.2025,11.16036,1.74244,11.16036
03.08.2025,25.44264,3.97231,25.44264
04.08.2025,17.01538,2.65658,17.01538
05.08.2025,23.29360,3.63678,23.29360
06.08.2025,30.88891,4.82262,30.88891
07.08.2025,34.96178,5.45851,34.96178
08.08.2025,34.99535,5.46375,34.99535
09.08.2025,34.34009,5.36145,34.34009
10.08.2025,34.66546,5.41225,34.66546
11.08.2025,34.17377,5.33548,34.17377
12.08.2025,33.21061,5.18511,33.21061
13.08.2025,31.99370,4.99511,31.99370
14.08.2025,32.66561,5.10002,32.66561
15.08.2025,31.09317,4.85451,31.09317
16.08.2025,23.97871,3.74375,23.97871
17.08.2025,24.25125,3.78630,24.25125
18.08.2025,34.70159,5.41789,34.70159
19.08.2025,33.39965,5.21462,33.39965
20.08.2025,14.68781,2.29318,14.68781
21.08.2025,7.28611,1.13757,7.28611
22.08.2025,26.40550,4.12264,26.40550
23.08.2025,14.58315,2.27684,14.58315
24.08.2025,33.02629,5.15633,33.02629
25.08.2025,34.30062,5.35529,34.30062
26.08.2025,32.58049,5.08673,32.58049
27.08.2025,22.45573,3.50597,22.45573
28.08.2025,4.87290,0.76080,4.87290
29.08.2025,23.27729,3.63424,23.27729
30.08.2025,24.01470,3.74937,24.01470
31.08.2025,34.38359,5.36824,34.38359
01.09.2025,11.70612,1.82765,11.70612
02.09.2025,25.25367,3.94281,25.25367
03.09.2025,26.88370,4.19730,26.88370
04.09.2025,19.10169,2.98231,19.10169
05.09.2025,15.72780,2.45555,15.72780
06.09.2025,34.43890,5.37688,34.43890
07.09.2025,27.48242,4.29078,27.48242
